質問	模範回答	カテゴリ
What is load factor?	The load the wings are supporting divided by the total weight of the airplane. Ratio of lift generated by wings / total weight. Usually expressed in G's.	B. 空気力学
What effect does an increase in load factor have on stall speed?	A heavily loaded airplane has a higher stall speed. Must use higher AOA to generate required lift, reaching critical AOA at faster airspeed.	B. 空気力学
Define VA	VA is maneuvering speed. The speed at which maneuvers can be performed without over stressing the airplane.	E. 計器
What is the relationship between maneuvering speed and weight?	Maneuvering speed decreases at lighter weight. Lighter airplane = lower Va because turbulence can more easily displace it.	B. 空気力学
What causes a spin?	Both wings are stalled, but one is more stalled than the other	B. 空気力学
What is proper spin recovery?	Power idle / Ailerons neutral / Full opposite rudder / Forward pressure on elevator	B. 空気力学
When are spins most likely to occur?	Airplane must be stalled - anytime in flight that you meet or exceed the critical angle of attack	B. 空気力学
Define Ground Effect	The reduction of induced drag due to interference of the ground over the wings. Looks and feels like an increase in lift.	B. 空気力学
What is adverse yaw?	The tendency of an airplane to yaw opposite the direction it is rolling	B. 空気力学
What is density altitude?	The pressure altitude corrected for nonstandard temperature variations. Air density is the single most important factor to aircraft performance.	C. 性能
What factors affect density altitude?	Increased humidity increases DA (decreases performance) / Increased temperature increases DA / Increased pressure/elevation increases DA	C. 性能
VA - Maneuvering speed	97 knots at 2300 lbs	E. 計器
VFE - Maximum flap extended speed	85 knots	E. 計器
VNE - Never exceed speed	160 knots	E. 計器
VX - Best angle of climb	59 knots	E. 計器
VY - Best rate of climb	73 knots	E. 計器
White arc on airspeed indicator	Flap operating range: 41-85 knots	E. 計器
Green arc on airspeed indicator	Normal operating range: 47-128 knots	E. 計器
Yellow arc on airspeed indicator	Caution range: fly only in smooth air: 128-160 knots	E. 計器
Red line on airspeed indicator	Never exceed speed: 160 knots	E. 計器
What is indicated airspeed?	Type of airspeed read directly from the airspeed indicator driven by a pitot-static system	E. 計器
What is calibrated airspeed?	Indicated airspeed corrected for instrument error	E. 計器
What is true airspeed?	The actual speed of the aircraft through the air. Must calculate based on indicated airspeed, current pressure altitude, and air temperature.	E. 計器
Do we use our cones or rods to see at night?	Rods at night, Cones during the day	N. 飛行生理学
What can you do to protect your eyesight at night?	Avoid bright lights / Use red aviation flashlight / Dim the lights in the cockpit	N. 飛行生理学
When are position lights required for night flight?	At all times during night flight	G. 空港・滑走路
When are anti-collision lights required for night flight?	At all times during night flight	G. 空港・滑走路
What color are taxiway lights?	Blue	G. 空港・滑走路
What are REILs?	Runway End Identifier Lights	G. 空港・滑走路
What color are airport beacons?	White and green: lighted land airport / White and yellow: lighted sea airport / Green, yellow, white: lighted heliport / White, white, green: lighted military airport	G. 空港・滑走路
How do you activate airport lights at night?	Controlled by radio on UNICOM or designated frequency. Pilot Controlled: 3 clicks=low, 5 clicks=medium, 7 clicks=high intensity	G. 空港・滑走路
What are the 4 control surfaces?	Ailerons / Elevator / Rudder / Flaps	B. 空気力学
What is the function of the flaps?	Increase lift and induced drag at any AOA. Greater lift for short field takeoffs, greater drag for landing. Permits slower airspeed and steeper angle of descent during approach.	B. 空気力学
What are the 4 strokes of an engine?	Intake / Compression / Power / Exhaust (4 strokes, 5 events - Ignition added)	F. エンジンと補機
How does the carb heat system work?	Unfiltered air off the exhaust manifold that helps melt any carb ice issues	F. エンジンと補機
Why do we experience a drop in RPM when applying carb heat?	Hot air is less dense, enriching fuel-air mixture, causing decrease in engine performance	F. エンジンと補機
What does the throttle control?	The amount of air allowed into the induction system	F. エンジンと補機
What does the mixture control?	Sets the amount of fuel available to the engine for combustion. Used with throttle to control fuel-to-air mixture for best performance at altitude.	F. エンジンと補機
Which instruments operate on a gyroscope?	Heading indicator and Attitude indicator (vacuum gyros) / Turn coordinator (electrical gyro)	E. 計器
What are the two main fundamentals of a gyroscope?	Rigidity in Space: Newton's first law, gyroscope remains in fixed position while spinning. Precession: change in orientation of a rotating body.	E. 計器
Name the compass errors	Turning errors: Undershoot North, Overshoot South (NoSF). Dip errors: Accelerate North, Decelerate South (ANDS)	E. 計器
How does the pitot-static system work?	Operates on pressure differential. Airspeed: compares static to ram pressure / VSI: compares changes in pressure to calibrated leak / Altimeter: compares static pressure to reference pressure set in Kollsman window	E. 計器
What is the first indication of carb ice?	A drop in RPM	F. エンジンと補機
Define detonation and preignition	Detonation: uncontrolled firing of fuel-air mixture, caused by excessive temperature or lower grade fuel. Preignition: fuel-air mixture ignites prematurely, usually from hot spot/carbon deposit on spark plug.	F. エンジンと補機
What procedures following a partial loss of power?	Treat as complete loss of power. ABC's: Airspeed 65 knots / Best landing area, stay committed / Checklist	I. 飛行操作
What procedure following engine fire in flight?	Consult POH / Mixture idle cut off / Fuel shut off valve off / Master switch off / Cabin heat off / Airspeed into emergency descent	I. 飛行操作
What does low oil pressure mean?	Very bad sign, something is wrong. Land as soon as practical.	F. エンジンと補機
In the event of alternator failure, how long will battery last?	No more than 30 minutes	F. エンジンと補機
If vacuum system failed, which instruments will you lose?	Heading indicator and Attitude indicator	E. 計器
What is CFIT?	Controlled Flight Into Terrain. Flying a perfectly good airplane into terrain because of lack of situational awareness or visibility.	I. 飛行操作
What is Class A Airspace?	Not shown on sectional, covers entire nation, starts at 18,000 MSL. IFR ONLY.	H. 空域
What is Class B airspace?	Surrounds busiest airports, usually up to 10,000ft MSL. Solid blue line on sectional. Requires: 2-way radio communication, ATC clearance, Mode C transponder, PPL or endorsement.	H. 空域
What are the VFR cloud clearances for Class B airspace?	3SM visibility and clear of clouds	H. 空域
What is Class C airspace?	Surrounds medium airports. Solid magenta line with at least 2 different layers. Requires: 2-way radio communication, Mode C transponder.	H. 空域
What are the VFR visibility and cloud clearance requirements for Class C airspace?	3SM visibility / 1000ft above / 500ft below / 2000ft horizontally	H. 空域
What is Class D airspace?	Relatively small, surrounds tower airports. Dashed blue line. Reverts to Class E when tower is closed. Requires: 2-way radio communication.	H. 空域
What are the VFR visibility and cloud clearance requirements for Class D airspace?	3SM visibility / 1000ft above / 500ft below / 2000ft horizontally	H. 空域
What is Class E airspace?	Can start anywhere from surface up to 17,999ft MSL. Controlled airspace.	H. 空域
What are the VFR visibility and cloud clearance requirements for Class E airspace?	Below 10,000: 3SM visibility, 1000ft above, 500ft below, 2000ft horizontally. Above 10,000 MSL: 5SM visibility, 1000ft above, 1000ft below, 1 mile horizontally.	H. 空域
What is Class G airspace?	Completely uncontrolled, low-lying airspace	H. 空域
What are the VFR visibility and cloud clearance requirements for Class G airspace?	Daytime: 1SM visibility, clear of clouds. Nighttime: 3SM visibility, 1000ft above, 500ft below, 2000ft horizontally.	H. 空域
Name the different types of special use airspace	MCPRAWN: Military Operations Area (magenta hashmarks) / Controlled Firing Area / Prohibited Area (blue hash) / Restricted Area (blue hash) / Alert Area (magenta) / Warning Area (blue hash) / National Security TFR	H. 空域
When do you need a Mode C transponder?	Class A, B, within 30NM of Class B, in and above Class C, at or above 10,000MSL or 2,500AGL. If you have a transponder, it must be on.	H. 空域
Define an aircraft accident	Occurrence associated with operation of aircraft between boarding with intention of flight and everyone getting off. Involves death, serious injury, or substantial aircraft damage.	O. 航空法規
Define an aircraft incident	An occurrence other than an accident associated with aircraft operation where effects could have an effect on safety of operations.	O. 航空法規
When is immediate notification of the NTSB required?	Aircraft accident or incidents involving: flight control system malfunction / crew member unable to perform duties due to injury or illness / inflight fire / aircraft collision / property damage over $25,000	O. 航空法規
When should you file a report if asked by the NTSB?	Within 10 days	O. 航空法規
What restrictions concern pilots in the use of alcohol?	BAC .04 / Cannot drink within 8 hours before flight	O. 航空法規
What preflight action is to be taken before each flight?	PIC must be familiar with: weather reports and forecasts / fuel requirements / alternate airports / known traffic delays / runway lengths / takeoff and landing distances	O. 航空法規
What are the VFR fuel requirements for day and night?	Day: fuel to first point plus 30 minutes. Night: fuel to first point plus 45 minutes.	O. 航空法規
What VFR instruments are required for day? night?	Day (ATOMATOFLAMES): Airspeed, Tachometer, Oil pressure, Manifold pressure, Altimeter, Temperature gauge, Oil temp, Fuel gauge, Landing gear indicator, Anti-collision lights, Magnetic compass, ELT, Safety belts. Night adds: Fuses, Landing light, Anticollision lights, Position lights, Source of electricity.	E. 計器
What is an ELT?	Emergency Locator Transmitter. Used to locate aircraft in emergency.	I. 飛行操作
What are the requirements regarding the use of supplemental oxygen?	12,500-14,000ft: crew must use if over 30 minutes / 14,000-15,000ft: crew must use at all times / 15,000ft and above: passengers must be given access.	N. 飛行生理学
What is a VASI?	Visual Approach Slope Indicator. Lighting system to maintain safe glide path.	G. 空港・滑走路
What is a PAPI?	Precision Approach Path Indicator. Lighting system to maintain safe glide path. Works like the VASI.	G. 空港・滑走路
What is wake turbulence?	Turbulent wake produced by heavy aircraft primarily from wingtip vortices at high AOA (low speed). Byproduct of lift.	I. 飛行操作
How to avoid wake turbulence?	Takeoff: takeoff before wake turbulence path and stay above. Landing: stay above and land further than other aircraft.	I. 飛行操作
What is LAHSO?	Land and Hold Short Operations	G. 空港・滑走路
Before departure, what should passengers be briefed on?	No smoking / Seatbelts and how to use / Location of exits / Location of survival equipment / Emergency procedures	O. 航空法規
Explain the light gun signals	Steady green: clear to land / Flashing green: clear to taxi / Steady red: continue circling/stop / Flashing red: airport unsafe, do not land / Flashing white: return to starting point on ground / Alternating red and green: use extreme caution	I. 飛行操作
What are the 2 most common ways to navigate?	Pilotage: visual references to landmarks / Dead reckoning: deriving position mathematically from last known position	K. 航法
What types of charts would you use for basic VFR navigation?	Sectional chart and terminal area chart	J. チャート
What is an isogonic line?	Lines of equal magnetic variation	K. 航法
What is magnetic variation?	The difference between magnetic north and true north	K. 航法
How do you convert true to magnetic?	Minus east variation / Add west variation (East is Least, West is Best)	K. 航法
What is a VOR?	Very High Frequency Omni Range. Can fly directly to VOR and intercept different courses to or from station. 360 radials.	K. 航法
What is an NDB?	Non-Directional Beacon. Radio transmitter at known location. Going out of style.	K. 航法
What is RNAV?	Area Navigation. Allows aircraft to fly beyond a network of navigational aids.	K. 航法
What is GPS?	Global Positioning System. Uses satellites to establish position. Need 3 to triangulate, 4th to verify.	K. 航法
What are the different methods for checking the VOR for accuracy?	On the ground: plus or minus 4 degrees / In the air: plus or minus 6 degrees / Cross-referencing 2 VORs on separate radios	K. 航法
What is DME?	Distance Measuring Equipment. Tells you how far you are from the VOR.	K. 航法
What are the 4 Cs of the lost procedures?	Confess / Communicate / Climb / Conserve / Comply	K. 航法
What is CRM?	Crew Resource Management - how well you work with your crew	I. 飛行操作
What are the different types of altitude?	Indicated: read directly from altimeter / True: actual altitude above sea level / Absolute: actual altitude above terrain / Pressure: altimeter set to 29.92 / Density: pressure altitude corrected for nonstandard temperature	E. 計器
